per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio;tasa_ret_1er_anio2;tasa_ret_2do_anio3
6;0.20312499999999997;2;0;98;0.8571428571428896;0.5117134246968502;0.4518905526534329;0,511713425;0,451890553
6;0.20833333333333331;3;0;100;0.8571428571428896;0.7536945812807885;0.4518905526534329;0,753694581;0,451890553
6;0.21354166666666666;8;0;101;0.8571428571428896;0.7806122448979591;0.4518905526534329;0,780612245;0,451890553
6;0.21874999999999997;9;0;102;0.8571428571428896;0.39909588866849766;0.4518905526534329;0,399095889;0,451890553
6;0.22395833333333331;4;0;104;0.8571428571428896;0.36169866579889365;0.4518905526534329;0,361698666;0,451890553
6;0.22916666666666666;9;0;106;0.8571428571428896;0.28759398496240585;0.4518905526534329;0,287593985;0,451890553
6;0.23958333333333331;9;0;108;0.8571428571428896;0.2943722943722944;0.4518905526534329;0,294372294;0,451890553
6;0.24999999999999997;0;0;110;0.8571428571428896;0.5346672871102838;0.4518905526534329;0,534667287;0,451890553
6;0.2552083333333333;5;0;49;0.8571428571428896;0.6160181766543595;0.4518905526534329;0,616018177;0,451890553
6;0.2604166666666667;8;0;50;0.8571428571428896;0.7670141017780503;0.4518905526534329;0,767014102;0,451890553
6;0.265625;1;0;51;0.8571428571428896;0.7108944467994913;0.4518905526534329;0,710894447;0,451890553
6;0.2864583333333333;4;2;1;0.8571428571428896;0.7604863221884501;0.687263365752278;0,760486322;0,687263366
6;0.3125;0;2;5;0.8571428571428896;0.5901313171508158;0.003278742517833777;0,590131317;0,003278743
6;0.328125;2;2;6;0.8571428571428896;0.6225108225108227;0.3172760135234558;0,622510823;0,317276014
6;0.3541666666666667;9;2;13;0.8571428571428896;0.6222596964586846;0.07290356020603284;0,622259696;0,07290356
6;0.359375;0;2;14;0.8571428571428896;0.7073652990608008;0.7157780602279473;0,707365299;0,71577806
6;0.3697916666666667;9;2;16;0.8571428571428896;0.6468699839486356;0.36711484288789364;0,646869984;0,367114843
6;0.375;9;2;17;0.8571428571428896;0.6580427446569179;0.8833561914827683;0,658042745;0,883356191
6;0.4114583333333333;9;2;22;0.8571428571428896;0.6490952006294257;0.9856479642058353;0,649095201;0,985647964
6;0.4375;9;2;26;0.8571428571428896;0.523809523809524;0.295366440981784;0,523809524;0,295366441
6;0.4583333333333333;9;2;30;0.8571428571428896;0.5917207792207793;0.42176580505891437;0,591720779;0,421765805
