cod_ies;tipo_inst;nombre_inst;dir_sede_central;pag_web
111;Institutos Profesionales;Instituto Profesional Duoc UC;Eliodoro Yáñez 1595 Piso 14 , Providencia;www.duoc.cl
137;Institutos Profesionales;Instituto Profesional EATRI;Av. Condell 451, Santiago;www.eatri.cl
714;Institutos Profesionales;Instituto Profesional Escuela de Cine de Chile;Pablino Alfonso 351, Santiago;www.escuelacine.cl
171;Institutos Profesionales;Instituto Profesional Escuela de Comercio de Santiago;Av. República 190, Santiago;www.escueladecomercio.cl/home-instituto-profesional/
104;Institutos Profesionales;Instituto Profesional Escuela de Contadores Auditores de Santiago;Av. Providencia 2640 Piso 3, Providencia;www.ecas.cl
754;Institutos Profesionales;Instituto Profesional Escuela de Marina Mercante Piloto Pardo;Levarte 66, Valparaíso;www.ippilotopardo.cl
129;Institutos Profesionales;Instituto Profesional Escuela Moderna de Música;Av. Luis Pasteur 5303, Vitacura;www.emoderna.cl
132;Institutos Profesionales;Instituto Profesional ESUCOMEX;Av. Ejército Libertador 133, Santiago;www.esucomex.cl
117;Institutos Profesionales;Instituto Profesional IACC;Av. El Salvador 1318, Providencia;www.iacc.cl
100;Institutos Profesionales;Instituto Profesional INACAP;Av. Vitacura 10151, Vitacura;www.inacap.cl
103;Institutos Profesionales;Instituto Profesional Instituto de Estudios Bancarios Guillermo Subercaseaux;Agustinas 1476, piso 8, Santiago;www.isubercaseaux.cl
676;Institutos Profesionales;Instituto Profesional Instituto Internacional de Artes Culinarias y Servicios;Av. La Dehesa 2541, Lo Barnechea;www.culinary.cl
193;Institutos Profesionales;Instituto Profesional Instituto Nacional del Fútbol;Av. Quilín 5635-A, Peñalolén;www.inaf.cl
