per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_mat;tasa_ret_1er_anio;tasa_ret_2do_anio
2023-2024;62;Arte y Arquitectura;Instituto Profesional;Diseño de Ambientes e Interiores;2021;0.7903225806451613;0.7419354838709677
2023-2024;63;Arte y Arquitectura;Instituto Profesional;Diseño de Vestuario;2021;0.7286821705426356;0.5839793281653747
2023-2024;64;Arte y Arquitectura;Instituto Profesional;Diseño Gráfico;2021;0.7420875420875421;0.612533692722372
2023-2024;65;Tecnología;Instituto Profesional;Diseño Industrial;2021;0.8018867924528302;0.6682464454976303
2023-2024;66;Salud;Instituto Profesional;Fonoaudiología;2021;0.8220338983050848;0.7203389830508474
2023-2024;68;Agropecuaria;Instituto Profesional;Ingeniería Agrícola;2021;0.7485101311084624;0.667063020214031
2023-2024;69;Tecnología;Instituto Profesional;Ingeniería en Automatización, Instrumentación y Control;2021;0.7419898819561551;0.5966666666666667
2023-2024;70;Administración y Comercio;Instituto Profesional;Ingeniería en Comercio Exterior;2021;0.7750865051903114;0.6384083044982699
2023-2024;71;Tecnología;Instituto Profesional;Ingeniería en Computación e Informática;2021;0.6988424563468707;0.5902505873140172
2023-2024;72;Tecnología;Instituto Profesional;Ingeniería en Conectividad y Redes;2021;0.7515605493133583;0.6157697121401752
2023-2024;73;Tecnología;Instituto Profesional;Ingeniería en Construcción;2021;0.7559055118110236;0.6492890995260664
2023-2024;74;Tecnología;Instituto Profesional;Ingeniería en Electricidad;2021;0.7547770700636943;0.6842439644218552
2023-2024;75;Administración y Comercio;Instituto Profesional;Ingeniería en Finanzas;2021;0.7105729474305966;0.5853514471352629
2023-2024;76;Ciencias Básicas;Instituto Profesional;Ingeniería en Geomensura y Cartografía;2021;0.7007874015748031;0.5546875
2023-2024;77;Ciencias Sociales;Instituto Profesional;Ingeniería en Gestión Pública;2021;0.7015503875968992;0.5447470817120622
2023-2024;78;Administración y Comercio;Instituto Profesional;Ingeniería en Logística;2021;0.7292327203551047;0.5863377609108159
2023-2024;79;Administración y Comercio;Instituto Profesional;Ingeniería en Marketing;2021;0.7814465408805031;0.658267716535433
2023-2024;80;Tecnología;Instituto Profesional;Ingeniería en Mecánica Automotriz;2021;0.7524259113558878;0.6559308719560094
2023-2024;81;Tecnología;Instituto Profesional;Ingeniería en Medio Ambiente;2021;0.8113207547169812;0.720754716981132
2023-2024;82;Tecnología;Instituto Profesional;Ingeniería en Metalurgia;2021;0.7458563535911602;0.6795580110497238
2023-2024;83;Tecnología;Instituto Profesional;Ingeniería en Minas;2021;0.6829268292682927;0.5581081081081081
2023-2024;84;Tecnología;Instituto Profesional;Ingeniería en Prevención de Riesgos;2021;0.7275449101796407;0.5637450199203188
2023-2024;85;Tecnología;Instituto Profesional;Ingeniería en Química;2021;0.7037037037037037;0.6111111111111112
2023-2024;86;Administración y Comercio;Instituto Profesional;Ingeniería en Recursos Humanos;2021;0.7952167414050823;0.6794007490636704
2023-2024;87;Tecnología;Instituto Profesional;Ingeniería en Refrigeración y Climatización;2021;s/i;s/i
2023-2024;88;Administración y Comercio;Instituto Profesional;Ingeniería en Seguridad Privada;2021;0.9558573853989814;0.7215619694397284
2023-2024;89;Tecnología;Instituto Profesional;Ingeniería en Sonido;2021;0.7301136363636364;0.6193181818181818
2023-2024;90;Tecnología;Instituto Profesional;Ingeniería en Telecomunicaciones;2021;0.7583333333333333;0.6363636363636364
2023-2024;91;Tecnología;Instituto Profesional;Ingeniería Industrial;2021;0.6652221018418202;0.5406283856988082
2023-2024;92;Tecnología;Instituto Profesional;Ingeniería Mecánica;2021;0.726063829787234;0.6179183135704874
2023-2024;93;Salud;Instituto Profesional;Kinesiología;2021;0.7422360248447205;0.6242236024844721
2023-2024;94;Arte y Arquitectura;Instituto Profesional;Música, Canto o Danza;2021;0.6875;0.5469613259668509
2023-2024;97;Educación;Instituto Profesional;Psicopedagogía;2021;0.75;0.6300884955752213
2023-2024;98;Ciencias Sociales;Instituto Profesional;Publicidad;2021;0.8008298755186722;0.6804979253112033
2023-2024;100;Ciencias Sociales;Instituto Profesional;Relaciones Públicas;2021;0.7420634920634921;0.6573705179282868
2023-2024;101;Agropecuaria;Instituto Profesional;Técnico Agropecuario;2021;0.7035175879396985;s/i
2023-2024;102;Educación;Instituto Profesional;Técnico Asistente del Educador de Párvulos;2021;0.7247223845704267;s/i
2023-2024;103;Educación;Instituto Profesional;Técnico Asistente del Educador Diferencial;2021;0.703394877903514;s/i
2023-2024;104;Salud;Instituto Profesional;Técnico Dental y Asistente de Odontología;2021;0.7706666666666667;s/i
2023-2024;105;Administración y Comercio;Instituto Profesional;Técnico en Administración de Empresas;2021;0.6678264054202527;s/i
2023-2024;106;Administración y Comercio;Instituto Profesional;Técnico en Administración de Recursos Humanos y Personal;2021;0.7254207263064659;s/i
2023-2024;107;Tecnología;Instituto Profesional;Técnico en Administración de Redes y Soporte;2021;0.5448717948717948;s/i
2023-2024;108;Administración y Comercio;Instituto Profesional;Técnico en Administración de Ventas;2021;0.5555555555555556;s/i
2023-2024;109;Administración y Comercio;Instituto Profesional;Técnico en Administración Financiera y Finanzas;2021;0.6751740139211136;s/i
2023-2024;110;Ciencias Sociales;Instituto Profesional;Técnico en Administración Pública o Municipal;2021;0.7269585253456221;s/i
2023-2024;111;Tecnología;Instituto Profesional;Técnico en Alimentos;2021;0.75;s/i
2023-2024;114;Administración y Comercio;Instituto Profesional;Técnico en Comercio Exterior;2021;0.6978557504873294;s/i
2023-2024;115;Tecnología;Instituto Profesional;Técnico en Computación e Informática;2021;0.6360014487504527;s/i
2023-2024;116;Arte y Arquitectura;Instituto Profesional;Técnico en Comunicación Audiovisual;2021;0.7439446366782007;s/i
2023-2024;117;Tecnología;Instituto Profesional;Técnico en Construcción y Obras Civiles;2021;0.5722585330428468;s/i
2023-2024;118;Administración y Comercio;Instituto Profesional;Técnico en Contabilidad General;2021;0.6553808948004837;s/i
2023-2024;119;Administración y Comercio;Instituto Profesional;Técnico en Contabilidad Tributaria;2021;0.6895074946466809;s/i
2023-2024;120;Educación;Instituto Profesional;Técnico en Deporte, Recreación y Preparación Física;2021;0.7037933817594835;s/i
2023-2024;121;Arte y Arquitectura;Instituto Profesional;Técnico en Dibujo Arquitectónico;2021;0.648578811369509;s/i
2023-2024;122;Arte y Arquitectura;Instituto Profesional;Técnico en Diseño Gráfico;2021;0.6447368421052632;s/i
