per_sies;cod_ies;total_mujeres;total_hombres;total_gral;prom_edad_mujeres;prom_edad_hombres;prom_edad_inst;num_acad_1_inst;num_acad_2_inst;num_acad_3_mas_inst;num_acad_nform_doctor;num_acad_nform_magister;num_acad_nform_esp_med_odo;num_acad_nform_tit_prof;num_acad_nform_licencia;num_acad_nform_tns;num_acad_nform_tnm;num_acad_nform_ens_media;num_acad_nform_stit_sgra;num_acad_nform_sin_info;num_acad_reg_ar_pa;num_acad_reg_tarap;num_acad_reg_antof;num_acad_reg_ataca;num_acad_reg_coqui;num_acad_reg_valpo;num_acad_reg_metro;num_acad_reg_ohigg;num_acad_reg_maule;num_acad_reg_nuble;num_acad_reg_biobi;num_acad_reg_arau;num_acad_reg_losri;num_acad_reg_losla;num_acad_reg_aysen;num_acad_reg_magal;num_acad_reg_sin_inf;num_acad_nac_chile;num_acad_nac_extra;prom_gral_hrs_acad;prom_muj_hrs_acad;prom_hom_hrs_acad;num_acad_hrs_menos_11;num_acad_hrs_ent_11_22;num_acad_hrs_ent_23_38;num_acad_hrs_mas_38;num_acad_hrs_sin_info
PAC_2023;534;3;8;11;41.3333333333333;43.25;42.7272727272727;;2;1;;2;;9;;;;;;;;;;;;;11;;;;;;;;;;;11;;33.1818181818182;31.6666666666667;33.75;;3;;8;
PAC_2023;629;249;298;547;40.4377510040161;44.2214765100671;42.4990859232176;92;75;57;1;30;;388;37;75;1;;;15;;;;;;547;;;;;;;;;;;;542;5;14.9597623400366;15.6318473895582;14.3981879194631;288;137;53;69;
PAC_2023;633;44;51;95;41;41.3137254901961;41.1684210526316;17;12;7;;4;2;64;8;17;;;;;;;;;;;;;;;;95;;;;;;94;1;14.1443157894737;16.0129545454545;12.5321568627451;62;9;13;11;
PAC_2023;676;49;43;92;45.6530612244898;41.6046511627907;43.7608695652174;9;17;11;;21;;48;12;11;;;;;;;;;;30;62;;;;;;;;;;;92;;14.5829347826087;13.7485714285714;15.5337209302326;64;7;1;20;
PAC_2023;691;3;;3;47.3333333333333;;47.3333333333333;1;1;;;;;3;;;;;;;;;;;;;;;;;;;3;;;;;3;;19.3333333333333;19.3333333333333;;;3;;;
PAC_2023;693;9;43;52;37;43.6744186046512;42.5192307692308;3;5;1;1;6;;20;19;;;6;;;;;;;;;52;;;;;;;;;;;52;;14.5576923076923;10.2222222222222;15.4651162790698;24;16;7;5;
PAC_2023;701;19;26;45;49.7368421052632;46.0384615384615;47.6;3;3;3;;11;;20;6;7;;1;;;;;;;;;45;;;;;;;;;;;43;2;16.6033333333333;22.4815789473684;12.3076923076923;20;14;3;8;
PAC_2023;714;5;17;22;48.2;53.2941176470588;52.1363636363636;1;2;;;4;;2;14;2;;;;;;;;;;;22;;;;;;;;;;;22;;4.90909090909091;5.6;4.70588235294118;21;1;;;
PAC_2023;730;12;11;23;39.5;42;40.695652173913;4;5;1;1;5;;8;;8;;1;;;;;;;;;23;;;;;;;;;;;20;3;25.7826086956522;24.4166666666667;27.2727272727273;7;5;1;10;
PAC_2023;754;4;23;27;48.5;68.1304347826087;65.2222222222222;;2;1;1;8;;10;1;3;1;3;;;;;;;;27;;;;;;;;;;;;27;;21.2962962962963;32.25;19.3913043478261;13;3;3;8;
PAC_2023;902;40;49;89;42.725;37.9591836734694;40.1011235955056;7;18;10;1;19;;67;;2;;;;;89;;;;;;;;;;;;;;;;;87;2;17.0758426966292;16.29375;17.7142857142857;39;32;7;11;
PAC_2023;906;22;38;60;44.4545454545455;42.7894736842105;43.4;5;9;3;;2;;58;;;;;;;;60;;;;;;;;;;;;;;;;59;1;21.35;20.5909090909091;21.7894736842105;20;20;4;16;
PAC_2023;908;26;25;51;41.2692307692308;44.04;42.6274509803922;10;6;7;;3;;43;3;2;;;;;;;51;;;;;;;;;;;;;;;51;;12.4901960784314;13.0769230769231;11.88;32;10;6;3;
PAC_2023;909;9;11;20;38.7777777777778;39.1818181818182;39;2;6;;;1;;19;;;;;;;;;;20;;;;;;;;;;;;;;20;;21.7;24.2222222222222;19.6363636363636;9;3;2;6;
PAC_2023;910;37;56;93;39.972972972973;42.9107142857143;41.741935483871;9;17;9;;6;;48;29;8;;2;;;;;;;93;;;;;;;;;;;;;91;2;22.4193548387097;23.2702702702703;21.8571428571429;38;16;6;33;
PAC_2023;911;38;61;99;41.1578947368421;43.8360655737705;42.8080808080808;12;12;8;1;10;;81;;7;;;;;;;;;;99;;;;;;;;;;;;98;1;14.9772727272727;15.5131578947368;14.6434426229508;41;35;23;;
PAC_2023;912;11;42;53;38.6363636363636;41.4523809523809;40.8679245283019;5;2;4;;8;;37;6;2;;;;;;;;;;;53;;;;;;;;;;;53;;7.05735849056604;7.48454545454545;6.94547619047619;44;9;;;
PAC_2023;913;28;27;55;42.1785714285714;45.6666666666667;43.8909090909091;7;11;7;;20;;32;2;1;;;;;;;;;;;;55;;;;;;;;;;55;;14.9636363636364;13.8571428571429;16.1111111111111;35;8;2;10;
PAC_2023;914;45;52;97;37.0222222222222;40.6346153846154;38.9587628865979;25;10;8;;3;;82;4;7;1;;;;;;;;;;;;97;;;;;;;;;97;;8.24257731958763;8.69933333333334;7.84730769230769;80;12;1;4;
PAC_2023;915;18;18;36;35;40.7777777777778;37.8888888888889;12;3;3;1;7;;14;9;;;4;;1;;;;;;;;;;;36;;;;;;;35;1;15.3055555555556;11.5694444444444;19.0416666666667;25;2;3;6;
PAC_2023;916;47;67;114;40.1276595744681;39.5970149253731;39.8157894736842;15;18;11;;4;;107;;3;;;;;;;;;;;;;;;;114;;;;;;114;;11.185;10.6708510638298;11.545671641791;74;29;4;7;
PAC_2023;917;19;56;75;39;40.2142857142857;39.9066666666667;10;3;4;;12;;53;;9;;;;1;;;;;;;;;;;;;75;;;;;75;;9.2796;9.64894736842105;9.15428571428572;63;5;;7;
PAC_2023;918;15;15;30;39.8;45.5333333333333;42.6666666666667;6;5;2;;9;;19;;2;;;;;;;;;;;;;;;;;;30;;;;30;;18.3663333333333;13.622;23.1106666666667;19;2;1;8;
PAC_2023;919;2;11;13;36.5;39.9090909090909;39.3846153846154;1;;1;;4;;9;;;;;;;;;;;;;;;;;;;;;13;;;13;;14.5384615384615;9;15.5454545454545;11;;;2;
PAC_2023;920;19;17;36;35.5789473684211;39.8235294117647;37.5833333333333;10;6;2;;1;;31;;4;;;;;;;;;;;;;;;;;;;;36;;36;;5.575;5.36842105263158;5.80588235294118;36;;;;
PAC_2023;951;3;7;10;50;53.5714285714286;52.5;;;2;;4;;1;2;2;;;;1;;;;;;10;;;;;;;;;;;;10;;23.4;15.3333333333333;26.8571428571429;3;4;;3;
PAC_2022;99;19;31;50;45.1578947368421;48.6774193548387;47.34;2;9;4;;8;;39;;3;;;;;;;;;;;;;;;;;;50;;;;50;;22.75;27.8552631578947;19.6209677419355;10;21;7;12;
PAC_2022;100;1307;2631;3938;44.3710788064269;46.2603572786013;45.6333164042661;250;455;359;42;1275;;1972;110;388;11;19;;121;110;143;251;90;187;196;1233;158;299;209;384;199;143;180;62;94;;3842;96;15.4392407313358;15.3844070390207;15.4664804256938;1478;1236;1177;47;
PAC_2022;101;26;19;45;39.0384615384615;46.0526315789474;42;11;7;6;;1;;32;;1;;;;11;;;;;;45;;;;;;;;;;;;43;2;6.75555555555556;7.30769230769231;6;42;2;1;;
PAC_2022;103;53;146;199;47.4716981132075;51.5958904109589;50.4974874371859;3;16;25;5;47;;140;3;4;;;;;;;;;;27;105;23;;;21;23;;;;;;199;;16.7279899497487;19.9267924528302;15.5667808219178;108;48;11;32;
PAC_2022;104;40;75;115;46.7;48.6133333333333;47.9478260869565;10;10;8;4;40;;68;3;;;;;;;;;;;;115;;;;;;;;;;;112;3;14.7260869565217;17.175;13.42;69;23;4;19;
PAC_2022;106;74;105;179;41.4324324324324;39.9523809523809;40.5642458100559;19;29;16;1;71;;83;17;7;;;;;;;;;;;179;;;;;;;;;;;173;6;16.1245810055866;19.4189189189189;13.8028571428571;115;21;3;40;
PAC_2022;108;17;20;37;39.4705882352941;44.2;42.027027027027;4;9;3;;19;;14;4;;;;;;;;;;;;37;;;;;;;;;;;36;1;21.3243243243243;23.9411764705882;19.1;10;13;7;7;
PAC_2022;111;1940;2959;4899;40.7376288659794;42.874281851977;42.0281690140845;553;800;396;38;1253;8;2759;330;395;32;58;;26;;;;;;868;3460;;;;396;45;;130;;;;4775;124;29.1527944478465;30.6162319587629;28.1933254477864;520;1043;1831;1505;
PAC_2022;113;273;204;477;39.3186813186813;42.2990196078431;40.5932914046122;107;93;45;1;55;;124;255;42;;;;;;;21;;;;98;63;;;169;;126;;;;;470;7;13.4132075471699;12.7252747252747;14.3338235294118;292;101;37;47;
PAC_2022;116;900;1160;2060;42.2122222222222;43.3129310344828;42.8320388349515;240;309;238;15;393;;1517;52;83;;;;;82;127;129;61;171;86;331;80;187;75;252;159;79;199;;42;;2034;26;11.385;12.0095;10.900474137931;1430;355;113;162;
PAC_2022;117;400;358;758;44.1225;45.1005586592179;44.5844327176781;63;160;123;58;280;;275;54;91;;;;;;;;;;;758;;;;;;;;;;;539;219;37.1899736147757;37.9875;36.2988826815642;107;51;45;555;
PAC_2022;120;78;82;160;40.7435897435897;46.4878048780488;43.6875;32;24;9;1;12;;112;14;21;;;;;;;;;;16;46;;;24;74;;;;;;;154;6;7.94375;7.47435897435897;8.39024390243902;132;16;9;3;
PAC_2022;123;557;462;1019;38.5224416517056;40.1580086580087;39.2639842983317;236;187;84;3;200;;738;9;60;2;7;;;;;;;149;;550;133;;;;187;;;;;;1000;19;21.6153091265947;23.8044883303411;18.975974025974;354;277;143;245;
PAC_2022;129;53;90;143;41.7169811320755;44.8333333333333;43.6783216783217;13;20;14;1;13;;64;35;5;1;;;24;;;;;;24;119;;;;;;;;;;;133;10;15.2258741258741;12.5188679245283;16.82;71;39;19;14;
PAC_2022;132;63;95;158;40.2380952380952;44.1473684210526;42.5886075949367;25;18;14;1;11;;131;9;6;;;;;;;;;;;147;;;;11;;;;;;;153;5;21.0949367088608;23.9365079365079;19.2105263157895;44;53;38;23;
PAC_2022;137;27;21;48;43.4444444444444;40.2857142857143;42.0625;11;5;4;;16;;20;12;;;;;;;;;;;;48;;;;;;;;;;;47;1;20.7083333333333;17.5925925925926;24.7142857142857;12;18;11;7;
PAC_2022;139;221;276;497;44.5565610859729;48.1992753623188;46.579476861167;48;65;70;9;227;1;243;3;14;;;;;;;;;;;;;;102;395;;;;;;;493;4;13.5522132796781;15.0199095022624;12.3769927536232;287;140;25;45;
PAC_2022;143;2202;2254;4456;39.5236148955495;41.9995563442768;40.7760323159785;803;792;437;14;723;2;2195;749;677;20;30;;46;;;306;;187;438;2217;314;228;1;286;150;;329;;;;4332;124;24.0098743267504;23.8755676657584;24.1410825199645;1130;1373;840;1113;
PAC_2022;144;117;240;357;40.6666666666667;44.4;43.1764705882353;33;55;19;3;39;;195;78;19;;19;;4;;;;;;73;284;;;;;;;;;;;351;6;10.6918767507003;9.33333333333333;11.3541666666667;230;93;16;18;
PAC_2022;152;421;334;755;38.3776722090261;40.0538922155689;39.1192052980132;182;144;66;3;76;1;527;64;51;4;29;;;;;1;49;;;666;;36;;1;;;1;;1;;733;22;27.4794701986755;29.3871733966746;25.0748502994012;148;222;87;298;
PAC_2022;155;103;120;223;43.4660194174757;44.675;44.1165919282511;24;35;27;3;35;;118;33;34;;;;;;;;;;;223;;;;;;;;;;;218;5;22.4181165919283;25.3241747572816;19.92375;82;53;35;53;
PAC_2022;162;11;60;71;42.9090909090909;41.5666666666667;41.7746478873239;2;3;6;1;13;;47;1;8;;1;;;;;;;;;71;;;;;;;;;;;68;3;14.8028169014085;18.8181818181818;14.0666666666667;30;30;4;7;
PAC_2022;165;122;220;342;41.9180327868852;46.6227272727273;44.9444444444444;31;41;39;6;81;;247;4;3;;1;;;;;;;;71;;66;42;;18;51;64;11;19;;;337;5;12.0906432748538;12.7131147540984;11.7454545454545;202;95;17;28;
PAC_2022;170;1;7;8;66;59;59.875;;;;;1;;3;3;1;;;;;2;;;;;;6;;;;;;;;;;;7;1;6.25;4;6.57142857142857;8;;;;
PAC_2022;171;22;66;88;47.5909090909091;47.8333333333333;47.7727272727273;3;7;7;1;35;;48;3;1;;;;;;;;;;;88;;;;;;;;;;;86;2;12.2681818181818;13.0977272727273;11.9916666666667;46;37;5;;
PAC_2022;176;127;87;214;44.7795275590551;42.183908045977;43.7242990654206;31;41;22;2;22;;168;12;7;1;;;2;;;;;40;;32;;17;51;68;;;6;;;;208;6;29.3042056074766;30.8803149606299;27.0034482758621;50;44;47;73;
PAC_2022;193;9;55;64;42.6666666666667;44.4545454545455;44.203125;;6;2;1;13;;46;;;4;;;;;;;;;;64;;;;;;;;;;;64;;12.671875;14.5177777777778;12.3698181818182;41;16;;7;
PAC_2022;214;90;89;179;39.1111111111111;38.6404494382022;38.877094972067;34;35;10;1;15;;114;13;35;1;;;;;;;;;32;147;;;;;;;;;;;172;7;13.0782122905028;12.6;13.561797752809;1;170;6;2;
PAC_2022;218;231;161;392;43.2164502164502;41.9068322981366;42.6785714285714;52;92;46;4;54;4;264;10;40;;;;16;;;;;;;392;;;;;;;;;;;389;3;18.890943877551;19.5757575757576;17.9083850931677;151;112;78;51;
PAC_2022;229;2;;2;64;;64;;;1;;;;2;;;;;;;;;;;;;2;;;;;;;;;;;2;;13.625;13.625;;1;1;;;
PAC_2022;236;3;3;6;53.3333333333333;44.6666666666667;49;1;;;;;1;3;;2;;;;;;;;;;;6;;;;;;;;;;;6;;14.8333333333333;22.6666666666667;7;4;1;;1;
PAC_2022;241;7;6;13;51.5714285714286;56.3333333333333;53.7692307692308;1;;4;;3;;9;;1;;;;;;;;;;;13;;;;;;;;;;;6;7;10.1538461538462;10.8571428571429;9.33333333333333;11;;1;1;
PAC_2022;257;30;42;72;42.4333333333333;44.5714285714286;43.6805555555556;8;10;5;;11;;30;13;14;;4;;;;;;;72;;;;;;;;;;;;;71;1;14.4305555555556;15.2666666666667;13.8333333333333;39;20;5;8;
