per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;fecha_act;coho_tit;per_tit_carr;prom_ing_4to_anio:tit
2022-2023;72;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;Septiembre de 2022;2013;2017;s/i
2022-2023;73;Tecnología;Institutos Profesionales;Ingeniería en Sonido;Septiembre de 2022;2013;2017;875882.1033335001
2022-2023;74;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;Septiembre de 2022;2013;2017;1562218.1411066668
2022-2023;75;Tecnología;Institutos Profesionales;Ingeniería Industrial;Septiembre de 2022;2013;2017;1563188.6863
2022-2023;76;Tecnología;Institutos Profesionales;Ingeniería Mecánica;Septiembre de 2022;2013;2017;1475220.6641433332
2022-2023;77;Salud;Institutos Profesionales;Kinesiología;Septiembre de 2022;2013;2017;s/i
2022-2023;78;Salud;Institutos Profesionales;Nutrición y Dietética;Septiembre de 2022;2013;2017;902946.8762493334
2022-2023;79;Educación;Institutos Profesionales;Psicopedagogía;Septiembre de 2022;2013;2017;921322.0367906666
2022-2023;80;Ciencias Sociales;Institutos Profesionales;Publicidad;Septiembre de 2022;2013;2017;981724.0184175001
2022-2023;81;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;Septiembre de 2022;2013;2017;899515.4328616667
2022-2023;82;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;Septiembre de 2022;2013;2017;675579.2386441667
2022-2023;83;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;Septiembre de 2022;2013;2017;536760.1910208333
2022-2023;84;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;Septiembre de 2022;2013;2017;527868.2865381667
2022-2023;85;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;Septiembre de 2022;2013;2017;640076.9626143334
2022-2023;86;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;Septiembre de 2022;2013;2017;1021683.8009795
2022-2023;87;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;Septiembre de 2022;2013;2017;941839.5006355001
2022-2023;88;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;Septiembre de 2022;2013;2017;930264.5217826666
2022-2023;89;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Ventas;Septiembre de 2022;2013;2017;s/i
2022-2023;90;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;Septiembre de 2022;2013;2017;1115280.0607183333
2022-2023;91;Ciencias Sociales;Institutos Profesionales;Técnico en Administración Pública o Municipal;Septiembre de 2022;2013;2017;s/i
2022-2023;92;Tecnología;Institutos Profesionales;Técnico en Alimentos;Septiembre de 2022;2013;2017;s/i
2022-2023;93;Administración y Comercio;Institutos Profesionales;Técnico en Comercio Exterior;Septiembre de 2022;2013;2017;1011687.3917273334
2022-2023;94;Tecnología;Institutos Profesionales;Técnico en Computación e Informática;Septiembre de 2022;2013;2017;1106994.5649033336
2022-2023;95;Arte y Arquitectura;Institutos Profesionales;Técnico en Comunicación Audiovisual;Septiembre de 2022;2013;2017;856206.9919665
2022-2023;96;Tecnología;Institutos Profesionales;Técnico en Construcción y Obras Civiles;Septiembre de 2022;2013;2017;988898.4891491667
2022-2023;97;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad General;Septiembre de 2022;2013;2017;1063906.9467326666
2022-2023;98;Administración y Comercio;Institutos Profesionales;Técnico en Contabilidad Tributaria;Septiembre de 2022;2013;2017;1076660.9960985
2022-2023;99;Educación;Institutos Profesionales;Técnico en Deporte, Recreación y Preparación Física;Septiembre de 2022;2013;2017;774656.3477705
2022-2023;100;Arte y Arquitectura;Institutos Profesionales;Técnico en Dibujo Arquitectónico;Septiembre de 2022;2013;2017;798301.2096051667
