per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;coho_tit;tit_mujeres;tit_hombres;tit_total
2023-2024;29;Administración y Comercio;Centro de Formación Técnica;Técnico en Logística;2022;475;620.0;1095
2023-2024;30;Tecnología;Centro de Formación Técnica;Técnico en Mantenimiento Industrial;2022;86;1161.0;1247
2023-2024;32;Tecnología;Centro de Formación Técnica;Técnico en Mecánica Automotriz;2022;61;1824.0;1885
2023-2024;33;Tecnología;Centro de Formación Técnica;Técnico en Mecánica Industrial;2022;8;239.0;247
2023-2024;35;Tecnología;Centro de Formación Técnica;Técnico en Minería;2022;120;231.0;351
2023-2024;37;Salud;Centro de Formación Técnica;Técnico en Podología;2022;356;17.0;373
2023-2024;38;Tecnología;Centro de Formación Técnica;Técnico en Prevención de Riesgos;2022;174;161.0;335
2023-2024;39;Tecnología;Centro de Formación Técnica;Técnico en Procesos Industriales;2022;1;41.0;42
2023-2024;40;Arte y Arquitectura;Centro de Formación Técnica;Técnico en Producción Gráfica y Multimedia;2022;97;84.0;181
2023-2024;41;Ciencias Básicas;Centro de Formación Técnica;Técnico en Química (Análisis e Industrial);2022;83;50.0;133
2023-2024;42;Salud;Centro de Formación Técnica;Técnico en Radiología y Radioterapia;2022;35;19.0;54
2023-2024;43;Tecnología;Centro de Formación Técnica;Técnico en Refrigeración y Climatización;2022;1;81.0;82
2023-2024;44;Ciencias Sociales;Centro de Formación Técnica;Técnico en Servicio Social;2022;815;122.0;937
2023-2024;45;Tecnología;Centro de Formación Técnica;Técnico en Telecomunicaciones;2022;20;257.0;277
2023-2024;47;Tecnología;Centro de Formación Técnica;Técnico en Topografía;2022;79;310.0;389
2023-2024;49;Administración y Comercio;Centro de Formación Técnica;Técnico en Turismo y Hotelería;2022;449;295.0;744
2023-2024;50;Derecho;Centro de Formación Técnica;Técnico Jurídico;2022;188;85.0;273
2023-2024;51;Salud;Centro de Formación Técnica;Técnico Laboratorista Dental;2022;98;42.0;140
2023-2024;52;Agropecuaria;Centro de Formación Técnica;Técnico Veterinario;2022;329;115.0;444
2023-2024;54;Administración y Comercio;Instituto Profesional;Administración de Empresas e Ing. Asociadas;2022;2933;1696.0;4629
2023-2024;55;Administración y Comercio;Instituto Profesional;Administración Gastronómica;2022;802;507.0;1309
2023-2024;56;Ciencias Sociales;Instituto Profesional;Administración Pública;2022;380;179.0;559
2023-2024;57;Administración y Comercio;Instituto Profesional;Administración Turística y Hotelera;2022;595;228.0;823
2023-2024;59;Arte y Arquitectura;Instituto Profesional;Comunicación Audiovisual y/o Multimedia;2022;131;262.0;393
2023-2024;60;Tecnología;Instituto Profesional;Construcción Civil;2022;329;1362.0;1691
2023-2024;61;Administración y Comercio;Instituto Profesional;Contador Auditor;2022;1553;816.0;2369
2023-2024;62;Arte y Arquitectura;Instituto Profesional;Diseño de Ambientes e Interiores;2022;87;12.0;99
2023-2024;63;Arte y Arquitectura;Instituto Profesional;Diseño de Vestuario;2022;235;22.0;257
2023-2024;64;Arte y Arquitectura;Instituto Profesional;Diseño Gráfico;2022;426;349.0;775
2023-2024;65;Tecnología;Instituto Profesional;Diseño Industrial;2022;49;56.0;105
2023-2024;66;Salud;Instituto Profesional;Fonoaudiología;2022;222;16.0;238
2023-2024;68;Agropecuaria;Instituto Profesional;Ingeniería Agrícola;2022;310;442.0;752
2023-2024;69;Tecnología;Instituto Profesional;Ingeniería en Automatización, Instrumentación y Control;2022;7;147.0;154
2023-2024;70;Administración y Comercio;Instituto Profesional;Ingeniería en Comercio Exterior;2022;305;214.0;519
