per_sies;id_carr_gen;area_carr;tipo_inst;nom_carr_gen;per_tit_carr;tasa_emp
2019-2020;65;Tecnología;Institutos Profesionales;Ingeniería en Electricidad;1er año;0.8414274661508705
2019-2020;66;Administración y Comercio;Institutos Profesionales;Ingeniería en Finanzas;1er año;0.8744202898550725
2019-2020;67;Ciencias Sociales;Institutos Profesionales;Ingeniería en Gestión Pública;1er año;0.8600384615384614
2019-2020;68;Administración y Comercio;Institutos Profesionales;Ingeniería en Logística;1er año;0.9022656641604011
2019-2020;69;Administración y Comercio;Institutos Profesionales;Ingeniería en Marketing;1er año;0.720672268907563
2019-2020;70;Tecnología;Institutos Profesionales;Ingeniería en Mecánica Automotriz;1er año;0.742685345896355
2019-2020;71;Tecnología;Institutos Profesionales;Ingeniería en Medio Ambiente;1er año;0.5379724137931035
2019-2020;72;Tecnología;Institutos Profesionales;Ingeniería en Minas y Metalurgia;1er año;0.6769008567931457
2019-2020;73;Tecnología;Institutos Profesionales;Ingeniería en Prevención de Riesgos;1er año;0.6434187402246552
2019-2020;74;Tecnología;Institutos Profesionales;Ingeniería en Química;1er año;0.7418032786885246
2019-2020;75;Administración y Comercio;Institutos Profesionales;Ingeniería en Recursos Humanos;1er año;0.8107112803772217
2019-2020;76;Tecnología;Institutos Profesionales;Ingeniería en Refrigeración y Climatización;1er año;0.8647905405405406
2019-2020;77;Tecnología;Institutos Profesionales;Ingeniería en Sonido;1er año;0.48059375
2019-2020;78;Tecnología;Institutos Profesionales;Ingeniería en Telecomunicaciones;1er año;0.8395273631840796
2019-2020;79;Tecnología;Institutos Profesionales;Ingeniería Industrial;1er año;0.8906487523992322
2019-2020;80;Tecnología;Institutos Profesionales;Ingeniería Mecánica;1er año;0.8018335500650196
2019-2020;81;Salud;Institutos Profesionales;Kinesiología;1er año;0.48740445859872616
2019-2020;82;Arte y Arquitectura;Institutos Profesionales;Música, Canto o Danza;1er año;0.39662569832402234
2019-2020;83;Salud;Institutos Profesionales;Nutrición y Dietética;1er año;0.43065408805031447
2019-2020;84;Educación;Institutos Profesionales;Pedagogía en Educación Básica;1er año;0.7979371921182266
2019-2020;85;Educación;Institutos Profesionales;Pedagogía en Educación de Párvulos;1er año;0.6817201481903676
2019-2020;86;Educación;Institutos Profesionales;Pedagogía en Educación Diferencial;1er año;0.8337203166226913
2019-2020;87;Educación;Institutos Profesionales;Pedagogía en Idiomas;1er año;0.6401136363636364
2019-2020;88;Educación;Institutos Profesionales;Psicopedagogía;1er año;0.6513287791978846
2019-2020;89;Ciencias Sociales;Institutos Profesionales;Publicidad;1er año;0.6464345703125
2019-2020;90;Ciencias Sociales;Institutos Profesionales;Relaciones Públicas;1er año;0.5771794071762871
2019-2020;91;Agropecuaria;Institutos Profesionales;Técnico Agropecuario;1er año;0.524858024691358
2019-2020;92;Educación;Institutos Profesionales;Técnico Asistente del Educador de Párvulos;1er año;0.5228123316372343
2019-2020;93;Educación;Institutos Profesionales;Técnico Asistente del Educador Diferencial;1er año;0.2888253773969808
2019-2020;94;Salud;Institutos Profesionales;Técnico Dental y Asistente de Odontología;1er año;0.5596297125793207
2019-2020;95;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Empresas;1er año;0.7528197127290739
2019-2020;96;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Recursos Humanos y Personal;1er año;0.7102895752895753
2019-2020;97;Tecnología;Institutos Profesionales;Técnico en Administración de Redes y Soporte;1er año;0.7220773710482529
2019-2020;98;Administración y Comercio;Institutos Profesionales;Técnico en Administración de Ventas;1er año;0.7583317535545023
2019-2020;99;Administración y Comercio;Institutos Profesionales;Técnico en Administración Financiera y Finanzas;1er año;0.7121045311799012
